URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/vrdr-administrative-gender-vs,ConceptMap/AdministrativeGenderCM"
http://hl7.org/fhir/composition-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/sid/icd-10,2.1.1,retired,"2.16.840.1.113883.6.3",Icd10,ICD-10,"International Classification of Diseases revision 10 (ICD 10)","ValueSet/vrdr-icd10-causes-of-death-vs"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-jurisdictions-vr,2.0.0,active,,CodeSystemJurisdictionsVitalRecords,Jurisdictions Vital Records,"NVSS Jurisdictions that are not US States or Territories.  This codesystem is only for use in the vital records use cases supported by this Implementation guide, and should not be used elsewhere.","ValueSet/ValueSet-jurisdiction-vr"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-us-states-territories-vr,2.0.0,active,,CodeSystemUSStatesTerritoriesVitalRecords,US States and Territories,"Surrogate for usps.com codesystem - IG Publisher found issues with that codesystem.  This codesystem is only for use in the vital records use cases supported by this Implementation guide, and should not be used elsewhere.","ValueSet/ValueSet-states-territories-provinces-vr,ValueSet/ValueSet-jurisdiction-vr"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/CodeSystem-vr-edit-flags,2.0.0,active,,CodeSystemEditFlagsVitalRecords,Birth and Death Edit Flags Vital Records,"This code system contains codes to represent all edit flags.  This codesystem is only for use in the vital records use cases supported by this Implementation guide, and should not be used elsewhere.","ValueSet/vrdr-edit-bypass-01-vs,ValueSet/vrdr-edit-bypass-012-vs,ConceptMap/EditBypass01CM,ConceptMap/EditBypass012CM,ValueSet/vrdr-edit-bypass-0124-vs,ConceptMap/EditBypass0124CM"
http://hl7.org/fhir/us/vr-common-library/CodeSystem/codesystem-ije-vr,2.0.0,active,,CodeSystemIJEVitalRecords,Placeholder Code System for IJE in Vital Records,"IJE Code System Placeholder is needed to provide a URL upon which to anchor concept maps. This codesystem is only for use in the vital records use cases supported by this Implementation guide, and should not be used elsewhere.","ConceptMap/MannerOfDeathCM,ConceptMap/MethodOfDispositionCM,ConceptMap/PlaceOfDeathCM,ConceptMap/ReplaceStatusCM,ConceptMap/EditBypass012CM,ConceptMap/IntentionalRejectCM,ConceptMap/SystemRejectCM,ConceptMap/FilingFormatCM,ConceptMap/AdministrativeGenderCM,ConceptMap/TransaxConversionCM,ConceptMap/EditBypass01CM,ConceptMap/PlaceOfInjuryCM,ConceptMap/CertifierTypesCM,ConceptMap/TransportationIncidentRoleCM,ConceptMap/ContributoryTobaccoUseCM,ConceptMap/DeathPregnancyStatusCM,ConceptMap/SpouseAliveCM,ConceptMap/EditBypass0124CM,ConceptMap/ActivityAtTimeOfDeathCM"
http://hl7.org/fhir/us/vrdr/CodeSystem/CodeSystem-death-pregnancy-status,3.0.0-preview1,active,,DeathPregnancyStatusCS,Death Pregnancy Status Codesystem,"Codes that reflect whether the decedent was pregnant at or around the time of death.","ValueSet/vrdr-death-pregnancy-status-vs,ConceptMap/DeathPregnancyStatusCM"
http://hl7.org/fhir/us/vrdr/CodeSystem/vrdr-activity-at-time-of-death-cs,3.0.0-preview1,active,,ActivityAtTimeOfDeathCS,Activity at Time of Death CodeSystem,"Activity at Time of Death Codesystem","ValueSet/vrdr-activity-at-time-of-death-vs,ConceptMap/ActivityAtTimeOfDeathCM"
http://hl7.org/fhir/us/vrdr/CodeSystem/vrdr-date-of-death-determination-methods-cs,3.0.0-preview1,active,,DateOfDeathDeterminationMethodsCS,Date of Death Determination Methods,"Date of Death Determination Methods CodeSystem","ValueSet/vrdr-date-of-death-determination-methods-vs"
