Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Extension,Questionnaire,QuestionnaireField,Notes/Questions,Mapping IG,computable
1-001,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,Local File No,VRCPL,Bundle-document-birth-report,AuxiliaryStateIdentifier1,identifier.extension[localFileNumber1].value,Bundle-document-birth-report.identifier.extension:localFileNumber1,,,,BFDR,BundleDocumentBirthReport
1-002,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,Birth Number,VRCPL,Bundle-document-birth-report,CertificateNumber,identifier.extension[birthCertificateNumber].value,Bundle-document-birth-report.identifier.extension:birthCertificateNumber,,,,BFDR,BundleDocumentBirthReport
1-003,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,1. Child’s Name,VRCPL,Patient-child-vr,Patient-child-vr,name,,,,,,PatientChildVitalRecords
1-004,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,2. Child's Time of Birth,FHIR,Patient-child-vr,patient-birthTime,,Patient-child-vr.extension:birthTime,,,,VRCPL,PatientChildVitalRecords
1-005,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,3. Child's Sex,US CORE,Patient-child-vr,us-core-birthsex,,Patient-child-vr.extension:birthsex,,,,VRCPL,PatientChildVitalRecords
1-006,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,4. Child's Date Of Birth,VRCPL,Patient-child-vr,Patient-child-vr,birthDate,,,,,,PatientChildVitalRecords
1-007,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,5. Facility Name / Address,BFDR,Location-bfdr,Location-bfdr,name/address,,,,,BFDR,LocationBFDR
1-008,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"6. City, Town, Or Location Of Birth",FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension:birthPlace,,,,VRCPL,PatientChildVitalRecords
1-009,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,7. County Of Birth,FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension:birthPlace,,,,VRCPL,PatientChildVitalRecords
1-010,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8a. Mother’s Current Legal Name,VRCPL,Patient-mother-vr,Patient-mother-vr,name:currentLegalName,,,,,,PatientMotherVitalRecords
